site,age,q,mean,lower,upper
K,2.2914572864321605,0.1,94.6074665027241,83.51850350555807,106.6717788949282
K,2.321608040201005,0.1,96.71109794360835,85.57994849810278,108.82757595743546
K,2.351758793969849,0.1,98.8108241482069,87.44879111951352,110.9051200078111
K,2.3819095477386933,0.1,100.90753891710185,89.42451878071604,112.9578547807629
K,2.4120603015075375,0.1,103.00213605087527,91.50490689496182,115.00403910672
K,2.4422110552763816,0.1,105.09550935010923,93.70161390819709,117.11168159113575
K,2.472361809045226,0.1,107.18855261538592,95.7390367853586,119.12309041956172
K,2.5025125628140703,0.1,109.28215986410939,97.74244312639344,121.0772662479719
K,2.5326633165829144,0.1,111.37770060448183,99.80892439090277,123.22755493048723
K,2.5628140703517586,0.1,113.47802805812564,101.83332997493491,125.21290338620125
K,2.5929648241206027,0.1,115.58628403683763,103.94102842521008,127.1757828603
K,2.6231155778894473,0.1,117.70561035241435,106.16778002611767,129.34309217165128
K,2.6532663316582914,0.1,119.83914881665248,108.22225026035544,131.54542454762185
K,2.6834170854271355,0.1,121.99004124134875,110.0732763556669,133.4283942355412
K,2.7135678391959797,0.1,124.16142943829989,112.34115359082351,135.64299037986825
K,2.743718592964824,0.1,126.35645521930248,114.57953260418543,137.85748683967688
K,2.7738693467336684,0.1,128.57826039615333,116.81207300196752,139.93448169297662
K,2.8040201005025125,0.1,130.829986780649,119.12321562321009,142.28557420427913
K,2.8341708542713566,0.1,133.1147761845862,121.37655555403538,144.57317659170653
K,2.8643216080402008,0.1,135.4357704197616,123.55572817162978,147.0073763928533
K,2.8944723618090453,0.1,137.796111297972,125.70430384021753,149.29111422180898
K,2.9246231155778895,0.1,140.19894063101398,127.77103838134344,151.648713182138
K,2.9547738693467336,0.1,142.64740023068418,130.0252692296756,154.1580302036756
K,2.9849246231155777,0.1,145.14463190877942,132.39070778864274,156.8001357175757
K,3.015075376884422,0.1,147.6937589673612,134.5785984175126,159.58482959511164
K,3.0452261306532664,0.1,150.29747898458484,136.83025846236595,162.35306830441706
K,3.0753768844221105,0.1,152.9580638146993,138.9591611266959,165.23328080552267
K,3.1055276381909547,0.1,155.6777668022184,141.49502325109168,168.35912213872035
K,3.135678391959799,0.1,158.45884129165603,144.0577157561129,171.57107841684885
K,3.165829145728643,0.1,161.30354062752605,146.60494701546338,174.967605961538
K,3.1959798994974875,0.1,164.2141181543424,149.06540814866577,178.52129586842784
